"Topic","Title","Title_kr","URL","Categories","Session_Description","Session_Description_kr","Learning_Objectives","Lab_Modules","Technologies_Used","Prerequisites"
"Hands-on lab for using GitHub Copilot in Visual Studio Code to improve developer productivity with agent mode, natural language interactions, and DevOps/IaC workflows","LAB510: The Power of GitHub Copilot in VS Code","LAB510: VS Code에서 GitHub Copilot의 강력한 기능","https://github.com/microsoft/ignite25-LAB510-the-power-of-github-copilot-in-vs-code","AI;Copilot;DevOps;Azure","This hands-on lab dives deep into using GitHub Copilot within Visual Studio Code to maximize its value in daily coding tasks. Participants will learn how Copilot can transform workflows using agent mode, model selection strategies, and productivity techniques that maintain code quality. The lab also covers natural language interactions with Azure resources and databases, plus generating Infrastructure as Code and CI/CD workflows with AI assistance.","이 실습형 랩에서는 Visual Studio Code에서 GitHub Copilot을 활용하여 일상적인 코딩 작업에서 가치를 극대화하는 방법을 심층적으로 다룹니다. 참가자는 agent mode, 모델 선택 전략, 그리고 코드 품질을 유지하면서 생산성을 높이는 기법을 통해 Copilot이 워크플로를 어떻게 변화시키는지 학습합니다. 또한 자연어로 Azure 리소스 및 데이터베이스와 상호작용하는 방법과, AI 지원을 통해 Infrastructure as Code 및 CI/CD 워크플로를 생성하는 방법도 다룹니다.","Use Copilot code completions from natural language; explore codebases with Copilot Chat using @workspace; provide project context via Copilot instructions files; use Agent mode for complex multi-file changes; interact with Azure resources using natural language; query databases using natural language with Copilot extensions; generate IaC templates (Terraform or Bicep) with AI assistance; create CI/CD workflows with Copilot; understand tool-calling and Model Context Protocol (MCP) capabilities.","","Visual Studio Code;GitHub Copilot;MSSQL extension for Visual Studio Code;GitHub Copilot for Azure extension;Terraform;Bicep;CI/CD workflows;Model Context Protocol (MCP)","At Ignite, a virtual environment with all prerequisites and required accounts is provided. To run outside of Ignite, follow the setup instructions at https://gh.io/lab510-msignite25."
"Building agentic RAG knowledge bases with Azure AI Search","LAB511: Build Agentic Knowledge Bases: Next-Level RAG with Azure AI Search","LAB511: Azure AI Search로 에이전틱 지식 베이스 구축: 차세대 RAG","https://github.com/microsoft/ignite25-LAB511-build-agentic-knowledge-bases-next-level-rag-with-azure-ai-search","AI;Azure;Data;Agent;Analytics","In this hands-on lab, you’ll build a Knowledge Base using agentic RAG, the next evolution of retrieval in Azure AI Search. You will connect an agentic retrieval engine to enterprise data using smart source selection across multiple indexes and storage systems. You’ll learn to enhance planning with natural language guidance and generate grounded responses with citations or extractive answers tailored to your use case. By the end, you will have a functional Agentic Knowledge Base that responds over enterprise data.","이 실습형 랩에서는 Azure AI Search의 차세대 검색 방식인 에이전틱 RAG를 사용하여 Knowledge Base를 구축합니다. 여러 인덱스와 스토리지 시스템 전반에서 스마트 소스 선택을 활용해 에이전틱 검색 엔진을 엔터프라이즈 데이터에 연결합니다. 자연어 가이던스로 계획(Planning)을 강화하고, 사용 사례에 맞춘 인용(citation) 기반의 근거 있는 응답 또는 추출형(extractive) 답변을 생성하는 방법을 학습합니다. 세션이 끝나면 엔터프라이즈 데이터에 대해 응답하는 완전한 에이전틱 Knowledge Base를 완성하게 됩니다.","Design and build a Knowledge Base using agentic RAG to retrieve, reason, and respond over enterprise data; implement smart source selection to query multiple indexes and data sources; use natural language guidance to improve query planning and produce grounded, citation-rich or extractive responses.","Deploy Yourself Guide (infrastructure deployment and environment setup); Jupyter notebook exercises to build the agentic retrieval engine and Knowledge Base; smart source selection across multiple indexes and storage systems; natural language guidance for planning; response generation with citations or extractive answers.","Azure AI Search; Azure Foundry Service (Azure OpenAI) with GPT-4.1 and text-embedding-3-large; Azure Storage (Blob Storage); Python; Jupyter notebooks; Azure SDK for Python (azure-search-documents, azure-identity, azure-storage-blob); Visual Studio Code",""
"Prototyping multimodal AI agents using Microsoft Foundry and the AI Toolkit in Visual Studio Code, including model selection, prompt/context engineering, and tool integration via MCP.","LAB512: Prototyping multimodal agents with Microsoft Foundry and the AI Toolkit","LAB512: Microsoft Foundry 및 AI Toolkit을 사용한 멀티모달 에이전트 프로토타이핑","https://github.com/microsoft/ignite25-LAB512-prototyping-multimodal-agents-with-microsoft-foundry-and-the-ai-toolkit","AI;Azure;Agent;Copilot;DevOps","In this lab, you'll get hands-on with the AI Toolkit (AITK) and Microsoft Foundry in VS Code to explore and compare the latest multimodal and reasoning models from the Model Catalog. You will learn how to augment models for a real-world business scenario using prompt and context engineering. You will also prototype an agent using the AITK Agent Builder and equip it with the right tools via MCP (Model Context Protocol).","이 실습에서는 VS Code에서 AI Toolkit(AITK)과 Microsoft Foundry를 직접 사용하여 Model Catalog의 최신 멀티모달 및 추론 모델을 탐색하고 비교합니다. 프롬프트 및 컨텍스트 엔지니어링을 활용해 실제 비즈니스 시나리오에 맞게 모델을 보강하는 방법을 학습합니다. 또한 AITK Agent Builder로 에이전트를 프로토타이핑하고, MCP(Model Context Protocol)를 통해 적절한 도구를 연결하는 방법을 다룹니다.","Explore and compare models to select the best fit for a business scenario; augment models with prompts and data to produce more accurate and grounded responses; prototype an agent by combining models and instructions with tools via MCP (Model Context Protocol).","Session Description; Learning Outcomes; Note for Self-Learners (prerequisites and setup); Technologies Used; Microsoft Learn MCP Server (installation and usage); Resources and Next Steps","AI Toolkit for Visual Studio Code (AITK); Visual Studio Code; GitHub Models; Microsoft Foundry Models; MCP (Model Context Protocol); Microsoft Learn MCP Server; Azure; gpt-5-mini","For self-learners: an Azure subscription with a provisioned Microsoft Foundry Project and a gpt-5-mini model instance (deployable via the provided ARM template link); a GitHub account."
"Building A2A (Agent-to-Agent) and MCP (Model Context Protocol) multi-agent systems using Microsoft Agent Framework and SWE agents","LAB513: Build A2A and MCP Systems using SWE Agents and agent-framework","LAB513: SWE Agents 및 agent-framework를 사용하여 A2A 및 MCP 시스템 구축","https://github.com/microsoft/ignite25-LAB513-build-a2a-and-mcp-systems-using-swe-agents-and-agent-framework","AI;Azure;Agent;Copilot;Security","Learn to use Microsoft Agent Framework (a unified platform from the Semantic Kernel and AutoGen engineering teams) to build A2A-compatible agents. Use SWE Agents such as the GitHub Copilot coding agent and Codex with Azure OpenAI models to accelerate development. Implement MCP tools to enable secure enterprise agentic workflows, and get hands-on experience building, deploying, and orchestrating multi-agent systems with pre-release capabilities.","Semantic Kernel 및 AutoGen 엔지니어링 팀이 제공하는 통합 플랫폼인 Microsoft Agent Framework를 활용하여 A2A 호환 에이전트를 구축하는 방법을 학습합니다. GitHub Copilot 코딩 에이전트와 Azure OpenAI 모델을 사용하는 Codex 등 SWE Agents를 활용해 개발을 가속화합니다. 또한 보안이 강화된 엔터프라이즈 에이전틱 워크플로를 위해 MCP 도구를 구현하고, 사전 공개 기능을 사용하여 멀티 에이전트 시스템을 직접 구축, 배포 및 오케스트레이션하는 실습을 진행합니다.","Build A2A (Agent-to-Agent) compatible agents using Microsoft Agent Framework; Implement MCP (Model Context Protocol) tools for secure enterprise workflows; Deploy and orchestrate multi-agent workflows","spec-to-agents repository for detailed lab instructions and hands-on exercises; Skillable-related instructions in lab/instructions; Microsoft Learn MCP Server setup via VS Code one-click install and mcp.json configuration","Microsoft Agent Framework; Semantic Kernel; AutoGen; A2A (Agent-to-Agent); MCP (Model Context Protocol); SWE Agents; GitHub Copilot coding agent; Codex; Azure OpenAI models; Microsoft Learn MCP Server; Visual Studio Code",""
"Building and deploying AI agents using MCP tools on Azure Functions with durable orchestration and vector search","LAB514: Build and deploy AI agents with MCP and Azure Functions","LAB514: MCP 및 Azure Functions로 AI 에이전트를 빌드하고 배포하기","https://github.com/microsoft/ignite25-LAB514-build-and-deploy-ai-agents-with-mcp-and-azure-functions","AI;Azure;Agent;DevOps;Data","Build an intelligent code-snippet service using Azure Functions that demonstrates how to create MCP (Model Context Protocol) tools for AI assistants like GitHub Copilot. Implement durable AI agents using Microsoft Agent Framework, orchestrate multi-agent workflows with Durable Functions, and enable semantic search using Azure Cosmos DB vector search with OpenAI embeddings.","Azure Functions를 사용하여 GitHub Copilot과 같은 AI 어시스턴트를 위한 MCP(Model Context Protocol) 도구를 만드는 방법을 보여주는 지능형 코드 스니펫 서비스를 구축합니다. Microsoft Agent Framework로 내구성 있는(durable) AI 에이전트를 구현하고, Durable Functions로 멀티 에이전트 워크플로를 오케스트레이션하며, OpenAI 임베딩을 활용한 Azure Cosmos DB 벡터 검색으로 시맨틱 검색을 활성화합니다.","Expose Azure Functions as discoverable MCP tools for AI assistants; Create stateful AI agents using Microsoft Agent Framework with automatic state management; Implement vector embeddings and semantic search with Azure Cosmos DB; Orchestrate multi-agent workflows using Durable Task Scheduler; Deploy and monitor AI-powered serverless applications on Azure","MCP Tool Integration (expose Azure Functions as discoverable tools); Durable AI Agents (stateful agents with Microsoft Agent Framework); Multi-Agent Orchestration (coordinate specialized agents such as DeepWiki and CodeStyle using Durable Task Scheduler); Vector Search (semantic code retrieval using Azure Cosmos DB DiskANN with OpenAI embeddings); Monitoring & Observability (track orchestrations with DTS dashboard); Microsoft Learn MCP Server setup (VS Code install, mcp.json configuration)","Azure Functions; Durable Functions; Durable Task Scheduler (DTS); Azure Cosmos DB vector search (DiskANN); Azure OpenAI Service (embeddings); Microsoft Agent Framework; Model Context Protocol (MCP); GitHub Copilot; Visual Studio Code",""
"Hands-on lab to build an AI-powered legal research agent using PostgreSQL on Azure with RAG, vector search, and graph-based reasoning via Microsoft Agent Framework","LAB515: Build advanced AI Agents with PostgreSQL","LAB515: PostgreSQL로 고급 AI 에이전트를 구축하기","https://github.com/microsoft/ignite25-LAB515-build-advanced-ai-agents-with-postgresql","AI;Azure;Data;Agent;Analytics","In this hands-on lab, you’ll build an AI-powered legal research assistant that reasons over real-world case law data using PostgreSQL and Microsoft Agent Framework. You’ll learn how to combine retrieval-augmented generation (RAG), vector search, and graph intelligence to develop an agentic workflow capable of generating accurate, contextual, and explainable answers. The solution runs on Azure Database for PostgreSQL and uses Azure OpenAI for embeddings and completions.","이 실습형 랩에서는 PostgreSQL과 Microsoft Agent Framework를 사용하여 실제 판례 데이터를 기반으로 추론하는 AI 기반 법률 리서치 어시스턴트를 구축합니다. retrieval-augmented generation(RAG), 벡터 검색, 그래프 인텔리전스를 결합하여 정확하고 맥락에 맞으며 설명 가능한 답변을 생성하는 에이전틱 워크플로를 구현하는 방법을 학습합니다. 솔루션은 Azure Database for PostgreSQL에서 실행되며, 임베딩과 생성(Completion)을 위해 Azure OpenAI를 사용합니다.","- Configure Azure Database for PostgreSQL Flexible Server with AI extensions (azure_ai, pgvector, diskann, apache_age) - Build autonomous agents using Microsoft Agent Framework with database and web plugins - Implement semantic search and reranking using vector embeddings - Improve reasoning with the GraphRAG pattern using graph relationships - Deploy the agent and infrastructure on Azure using Bicep and CLI automation","1. Setup Azure PostgreSQL Database: database connection and configuration; install azure_ai extension; configure Azure OpenAI connectivity 2. Using AI-driven features in PostgreSQL: pattern matching queries; semantic vector search using embeddings; DiskANN indexing for fast vector similarity search 3. Building the Agent Application: set up Microsoft Agent Framework; create database search plugins; implement semantic reranking; add external data sources; test and improve the agent Getting Started workflow: provision resources with azd; initialize tables/indexes and load dataset; enable extensions; run Code/lab.ipynb to generate embeddings, run semantic/graph queries, and interact with the agent","Azure Database for PostgreSQL Flexible Server; PostgreSQL extensions (azure_ai; pgvector; DiskANN; Apache AGE); Microsoft Agent Framework; Azure OpenAI Service; Python; Jupyter notebooks; VS Code PostgreSQL Extension; Azure Developer CLI (azd); Bicep; Azure CLI; PowerShell","Azure subscription with access to Azure OpenAI; Azure Developer CLI (azd) installed and ability to run azd auth login/env new/provision; Visual Studio Code with the VS Code PostgreSQL Extension; ability to run the provided Jupyter notebook (Code/lab.ipynb)"
"Automated AI red teaming for generative AI agent safety and security using Microsoft Foundry","LAB516: Safeguard your agents with AI Red Teaming Agent in Microsoft Foundry","LAB516: Microsoft Foundry의 AI Red Teaming Agent로 에이전트를 안전하게 보호하기","https://github.com/microsoft/ignite25-LAB516-safeguard-your-agents-with-ai-red-teaming-agent-in-microsoft-foundry","AI;Azure;Security;Agent","This hands-on workshop introduces the fundamentals of automated AI red teaming for generative AI systems to assess safety and security risks using Microsoft Foundry. Participants learn to apply automated attack techniques to uncover safety issues and security vulnerabilities across multiple risk dimensions before deployment. The lab includes guided walkthroughs and practical exercises to apply these methods in realistic development scenarios.","이 실습형 워크숍에서는 Microsoft Foundry를 사용하여 생성형 AI 시스템의 안전 및 보안 위험을 평가하기 위한 자동화된 AI 레드팀의 기본 개념을 소개합니다. 참가자는 배포 전에 여러 위험 차원에 걸쳐 안전 문제와 보안 취약점을 찾기 위해 자동화된 공격 기법을 적용하는 방법을 학습합니다. 또한 현실적인 개발 시나리오에서 이러한 개념을 적용할 수 있도록 안내형 워크스루와 실습 과제를 수행합니다.","- Describe what the AI Red Teaming Agent does and why it matters for AI safety - Identify and test against core risk categories with diverse attack strategies - Configure and test different target types (callbacks, models, and app endpoints) - Run AI Red Teaming Agent scans locally and in the cloud (using Azure AI SDKs) - Analyze scan results and metrics locally and in the cloud (using Microsoft Foundry Portal) - Compare baseline and advanced attack strategies for a real-world scenario","- Create a personal copy of the repo (fork) - Launch GitHub Codespaces development environment - Launch the web-based Workshop Guide (mkdocs serve) - Hands-on walkthroughs and guided exercises for automated AI red teaming - Configure and test targets (callbacks, models, app endpoints) - Run scans locally and in the cloud - Analyze results and metrics in Microsoft Foundry Portal - Compare baseline vs advanced attack strategies","Microsoft Foundry Portal;Microsoft Foundry SDK (Azure AI Projects);Azure AI Red Teaming Agent;Azure AI Evaluation SDK;Azure AI Agents;Azure OpenAI Service;PyRIT;Azure Developer CLI;GitHub Codespaces;VS Code;Python Notebooks;MkDocs;Microsoft Learn MCP Server","Basic familiarity with AI application development and the AI Ops lifecycle; familiarity with GitHub Codespaces, VS Code, and Python Notebooks is recommended; a GitHub account is required; Azure subscription needed for self-guided learning (instructor-led sessions may use a pre-provisioned Skillable subscription)."
"AI-assisted operations for Azure Kubernetes Service (AKS) using models, agents, and the Model Context Protocol (MCP)","LAB517: Next-Gen AKS Operations with Models, and Agents, and MCPs","LAB517: 모델, 에이전트 및 MCP를 활용한 차세대 AKS 운영","https://github.com/microsoft/ignite25-LAB517-next-gen-aks-operations-with-models-and-agents-and-mcps-oh-my","Azure;Kubernetes;AI;DevOps;Agent","Build confidence in managing AKS at scale with next‑gen ops tools. In this hands‑on lab, you’ll simulate a production service hit by traffic spikes, discover how AI‑driven alerts surface hidden bottlenecks, and deploy agents that self‑heal nodes. Using open‑source tools and the aks‑mcp server, you can automate cluster scaling, patch management, and real‑time troubleshooting with natural‑language commands and pre‑built MCP integrations.","차세대 운영 도구를 활용하여 대규모 AKS 관리를 자신 있게 수행하는 방법을 익힙니다. 이 실습형 랩에서는 트래픽 급증으로 영향을 받는 프로덕션 서비스를 시뮬레이션하고, AI 기반 알림이 숨겨진 병목을 어떻게 드러내는지 확인하며, 노드를 자가 치유하는 에이전트를 배포합니다. 오픈 소스 도구와 aks-mcp server를 사용하여 자연어 명령과 사전 구축된 MCP 통합을 통해 클러스터 스케일링, 패치 관리, 실시간 문제 해결을 자동화할 수 있습니다.","Deploy and configure AI agent frameworks (AKS MCP Server, CLI Agent, kagent) with Azure AI Foundry models; build multi-agent systems for operational tasks; troubleshoot production scenarios using natural language; orchestrate automated remediation for node failures, traffic spikes, and configuration drift; generate proactive health assessments using Azure Advisor and Kubernetes best practices; understand MCP and how it standardizes AI-tool integration.","Deploy Infrastructure (set up AKS cluster, Azure AI Foundry, monitoring tools); Start Lab Activities (hands-on scenarios with AI agents); Production simulation scenario (traffic spikes); AI-driven alerting and bottleneck discovery; Agent-based self-healing for nodes; Automation tasks (cluster scaling, patch management, real-time troubleshooting); Proactive health assessments (Azure Advisor + Kubernetes best practices); MCP integrations and usage","Azure Kubernetes Service (AKS); Azure AI Foundry; Model Context Protocol (MCP); AKS MCP Server; CLI Agent for AKS; kagent; Azure Monitor; Azure Log Analytics; Azure Advisor; Kubernetes","Basic familiarity with Kubernetes concepts and Azure is helpful but not required."
"Building multi-agent applications using MCP with Microsoft Agent Framework or LangGraph, integrated with Azure Cosmos DB and Azure OpenAI","LAB518: Multi-Agent Apps with Microsoft Agent Framework or LangGraph","LAB518: Microsoft Agent Framework 또는 LangGraph를 활용한 멀티 에이전트 앱","https://github.com/microsoft/ignite25-LAB518-multi-agent-apps-with-microsoft-agent-framework-or-langgraph","AI;Azure;Agent;Data;Analytics","Build a multi-agent application leveraging MCP (Model Context Protocol) with the Microsoft Agent Framework in C# or LangChain in Python, integrated with Azure Cosmos DB for scalable, high-performance data persistence and retrieval. You will define agents, functions, and external service integrations, and implement memory, state management, and semantic search using Azure Cosmos DB. By the end of the lab, you will have a robust AI agent system designed for real-world applications.","Azure Cosmos DB를 통해 확장 가능하고 고성능의 데이터 영속화 및 조회를 구현하면서, C#의 Microsoft Agent Framework 또는 Python의 LangChain을 사용해 MCP(Model Context Protocol)를 활용하는 멀티 에이전트 애플리케이션을 구축합니다. 에이전트, 함수, 외부 서비스 통합을 정의하고, Azure Cosmos DB를 사용해 메모리, 상태 관리, 시맨틱 검색을 구현합니다. 실습을 마치면 실제 업무 시나리오에 적용할 수 있는 견고한 AI 에이전트 시스템을 완성하게 됩니다.","Understand Microsoft Agent Framework and Extensions AI fundamentals and integration with Azure OpenAI; design and build conversational agents with message processing, response handling, and context management; implement Azure Cosmos DB for agent memory, state persistence, and chat history; develop semantic search and vector indexing with Cosmos DB; configure multi-agent coordination/orchestration (routing, communication, handoff); integrate and test external MCP servers for tool interoperability.","Exercises: LangGraph (Python) Module-0 and subsequent step-by-step exercises; Agent Framework (C#) Module-0 and subsequent step-by-step exercises; Completed Files: LangGraph (Python) demo run; Agent Framework (C#) demo run.","Visual Studio Code; GitHub Copilot; Azure Cosmos DB; Azure OpenAI Service; Microsoft Agent Framework; LangGraph; C#; Python; LangChain; MCP (Model Context Protocol)","During Ignite, the lab runs in a preconfigured virtual environment with required prerequisites and accounts. Outside Ignite, follow the exercises step by step or use the provided completed files to run the multi-agent retail banking application."
"Governing AI apps and agent architectures using AI Gateway capabilities in Azure API Management, including safety, compliance, monitoring, and performance optimization","LAB519: Governing AI Apps & Agents with AI Gateway in Azure API Management","LAB519: Azure API Management의 AI Gateway로 AI 앱 및 에이전트를 거버넌스하기","https://github.com/microsoft/ignite25-LAB519-governing-ai-apps-agents-with-ai-gateway-in-azure-api-management","AI;Azure;Governance;Security;Compliance","In this hands-on lab, you will learn how to govern AI apps and agents using AI Gateway in Azure API Management. You will onboard AI models, monitor and control token usage, and enforce safety and compliance policies while improving performance with semantic caching. The lab also covers governing MCP-based agent architectures by creating secure, efficient servers from APIs or connecting to backend MCP servers to deliver responsible AI solutions at scale.","이 실습형 랩에서는 Azure API Management의 AI Gateway를 사용하여 AI 앱과 에이전트를 거버넌스하는 방법을 학습합니다. AI 모델을 온보딩하고 토큰 사용량을 모니터링 및 제어하며, 안전 및 컴플라이언스 정책을 적용하는 동시에 semantic caching으로 성능을 향상시키는 방법을 다룹니다. 또한 API로부터 안전하고 효율적인 서버를 생성하거나 백엔드 MCP 서버에 연결하여 MCP 기반 에이전트 아키텍처를 거버넌스하고, 대규모로 책임감 있고 복원력 있는 AI 솔루션을 제공할 수 있도록 합니다.","Apply AI governance best practices using AI Gateway in Azure API Management; onboard AI models; monitor and control token usage; enforce safety and compliance controls; improve performance with semantic caching; govern MCP-based agent architectures by creating secure servers from APIs or connecting to backend MCP servers.","Onboarding AI models; Monitoring and controlling token usage; Enforcing safety and compliance; Performance optimization with semantic caching; Governing MCP-based agent architectures (create servers from APIs or connect to backend MCP servers); Using the Microsoft Learn MCP Server (VS Code install, mcp.json configuration).","Azure API Management (AI Gateway); Azure API Center (MCP Registry); Microsoft Foundry (model serving and Agent Service); Model Context Protocol (MCP); Microsoft Learn MCP Server; Visual Studio Code",""
